Rentrée scolaire;UAI;IPS;Ecart-type de l'IPS
2023;0530914F;109.7;34.8
2023;0540022F;102.0;29.9
2023;0540064B;100.7;28.5
2023;0540078S;113.6;30.2
2023;0540106X;127.0;39.4
2023;0540111C;85.8;33.9
2023;0541326Y;85.5;29.1
2023;0541334G;83.5;25.4
2023;0541339M;136.9;23.2
2023;0541515D;86.5;34.3
2023;0541576V;95.6;31.6
2023;0541579Y;102.5;32.6
2023;0541819J;107.6;35.1
2023;0541852V;111.6;31.8
2023;0541956H;109.8;34.6
2023;0542349K;92.0;26.2
2023;0550012P;97.1;30.5
2023;0550023B;97.7;30.5
2023;0550052H;93.7;25.3
2023;0560010G;94.4;26.9
2023;0560034H;107.4;29.7
2023;0560037L;101.7;25.5
2023;0560047X;93.2;26.7
2023;0560102G;101.4;33.6
2023;0560104J;130.7;25.6
2023;0560132P;110.6;27.6
2023;0560142A;102.9;25.5
2023;0560149H;124.4;30.4
2023;0560173J;116.3;27.2
2023;0560215E;98.1;31.9
2023;0560802T;120.4;34.9
2023;0561330S;92.7;38.1
2023;0561931V;111.2;34.1
2023;0570026U;97.1;30.2
2023;0570055A;101.9;36.0
2023;0570115R;99.5;33.6
2023;0570318L;79.5;27.4
2023;0570326V;73.5;28.3
2023;0571994H;110.4;27.2
2023;0572021M;97.8;33.6
2023;0572082D;109.5;35.5
2023;0572176F;102.3;33.2
2023;0572183N;91.2;30.9
2023;0572187T;92.5;32.4
2023;0572348T;113.3;35.9
2023;0572350V;96.7;33.9
2023;0572354Z;119.1;32.0
2023;0572358D;99.2;29.6
2023;0572490X;97.3;27.6
2023;0572496D;100.8;31.5
2023;0572583Y;96.2;31.3
2023;0572812X;98.8;32.4
2023;0572932C;123.6;27.1
2023;0580018E;99.3;24.3
2023;0580026N;101.8;26.2
2023;0580037A;98.2;25.4
2023;0580061B;116.5;28.3
2023;0580682B;92.8;28.2
2023;0580746W;103.9;28.4
2023;0590002G;81.5;25.8
2023;0590050J;72.9;25.7
2023;0590057S;124.6;36.7
2023;0590091D;88.7;30.0
2023;0590179Z;104.5;36.8
2023;0590190L;64.6;18.5
2023;0590200X;82.6;25.1
2023;0590206D;90.6;32.2
2023;0590228C;88.1;30.1
2023;0592714E;69.0;22.8
2023;0592733A;83.3;31.7
2023;0592890W;99.1;31.2
2023;0592907P;89.6;22.6
2023;0592911U;109.5;29.6
2023;0592930P;116.1;28.4
2023;0592941B;114.6;29.7
2023;0592959W;111.8;31.0
2023;0593130G;100.9;25.1
2023;0593131H;106.5;31.0
2023;0593134L;127.3;24.7
2023;0593154H;110.9;32.9
2023;0593163T;106.9;25.2
2023;0593182N;95.8;31.2
2023;0593227M;116.2;41.0
2023;0593475G;109.2;36.2
2023;0593486U;74.6;24.8
2023;0593662K;91.6;34.1
2023;0593666P;104.1;35.9
2023;0593676A;90.2;28.3
2023;0594287P;114.7;39.2
2023;0594291U;117.4;38.9
2023;0594362W;63.6;19.5
2023;0594386X;106.6;34.0
